Summary Group,SSAM_Measure,Min,Max,Mean,Variance,

Summary Group,SSAM_Measure,Min,Max,Mean,Variance,
Unfiltered-C:\Users\AJOU\Desktop\제어프로젝트 2조\vissim fuck\개선전\제어프로젝트_2조_개선전_011.trj,P(UEA),1,1,1,0
Unfiltered-C:\Users\AJOU\Desktop\제어프로젝트 2조\vissim fuck\개선전\제어프로젝트_2조_개선전_011.trj,mTTC,99,99,99,0
Unfiltered-C:\Users\AJOU\Desktop\제어프로젝트 2조\vissim fuck\개선전\제어프로젝트_2조_개선전_011.trj,mPET,99,99,99,0


Summary Group , Total, unclassified,crossing,rear end,lane change,
Unfiltered-All Files,59354,0,519,50366,8469,
Unfiltered-C:\Users\AJOU\Desktop\제어프로젝트 2조\vissim fuck\개선전\제어프로젝트_2조_개선전_009.trj,21599,0,168,18526,2905,
Unfiltered-C:\Users\AJOU\Desktop\제어프로젝트 2조\vissim fuck\개선전\제어프로젝트_2조_개선전_010.trj,18237,0,187,15278,2772,
Unfiltered-C:\Users\AJOU\Desktop\제어프로젝트 2조\vissim fuck\개선전\제어프로젝트_2조_개선전_011.trj,19518,0,164,16562,2792,
